"id","close_date","price","close_price","zip"
159333,"2012-1-19",65000,58000,"30078-6824"
159334,"2012-3-01",90000,84100,30045
159335,"2012-2-15",44900,49000,30078
159336,"2012-2-21",89000,87100,30052
159337,"2012-6-28",130000,130000,"30039-4116"
159338,"2012-3-23",76000,79000,30078
159339,"2012-3-30",129800,130000,"30052-2292"
159340,"2012-7-27",119900,135000,30039
159341,"2012-2-02",55000,55300,"30039-7728"
159342,"2012-2-22",46200,49900,30017
159343,"2012-1-12",35000,38050,30039
159344,"2012-8-06",95000,92000,30052
159345,"2012-4-25",33000,33000,"30039-4250"
159346,"2012-4-03",55800,49100,"30052-7544"
159347,"2012-4-13",74900,74900,"30078-6813"
159348,"2012-2-07",114900,110000,"30017-1255"
159349,"2012-6-15",78000,75000,"30078-6816"
159350,"2012-3-30",94900,90000,30047
159351,"2012-4-18",49500,48000,"30017-1198"
159352,"2012-2-10",80850,82600,"30078-2010"
159353,"2012-3-06",34875,33000,"30046-6184"
159354,"2012-8-02",64900,66000,"30039-6446"
159355,"2012-2-09",47900,52000,"30039-6234"
159356,"2012-3-16",40000,40000,30039
159357,"2012-3-16",134900,134900,"30039-6033"
159358,"2012-7-26",123500,115000,"30039-4758"
159359,"2012-6-15",159900,159900,"30039-6025"
159360,"2012-5-24",75000,74000,"30046-6169"
159361,"2012-2-29",57750,60000,"30039-4955"
159362,"2012-3-22",97700,93000,"30017-2807"
159363,"2012-4-26",59900,55000,"30039-4218"
159364,"2012-1-20",35000,35000,30045
159365,"2012-4-16",89900,72500,"30047-5706"
159366,"2012-8-13",47400,44000,30039
159367,"2012-7-20",30900,32400,"30039-8056"
159368,"2012-4-13",104900,104900,"30046-6173"
159369,"2012-3-12",90000,90100,30039
159370,"2012-2-14",65700,56000,"30078-6641"
159371,"2012-5-11",120000,110600,"30052-8705"
159372,"2012-1-27",41000,43000,30039
159373,"2012-1-27",79900,79500,"30052-8726"
159374,"2012-5-16",79900,79900,"30017-1029"
159375,"2012-4-27",149900,133000,"30039-4780"
159376,"2012-2-17",54500,45000,"30039-4316"
159377,"2012-2-16",44900,41500,30052
159378,"2012-3-09",84900,80000,30052
159379,"2012-2-28",69900,62000,"30039-7716"
159380,"2012-2-16",74900,64000,30039
159381,"2012-3-12",105000,110150,30052
159382,"2012-3-26",59900,58500,"30078-3129"
159383,"2012-3-16",159900,140000,"30039-8742"
159384,"2012-4-25",124900,122900,30078
159385,"2012-3-27",58500,57100,30052
159386,"2012-2-22",81900,82000,30039
159387,"2012-3-05",124900,125000,"30039-8583"
159388,"2012-4-05",106000,106000,30039
159389,"2012-6-28",124900,124900,"30039-7365"
159390,"2012-3-13",115000,112000,"30052-5812"
159391,"2012-7-20",45000,43000,30052
159392,"2012-3-26",64900,63000,"30078-4143"
159393,"2012-3-06",77000,77000,"30039-4836"
159394,"2012-4-25",54000,54000,"30039-5344"
159395,"2012-3-22",80000,83000,30039
159396,"2012-6-13",74900,63525,"30039-6226"
159397,"2012-2-27",152000,152000,30039
159398,"2012-2-29",26900,35524,"30087-4141"
159399,"2012-5-31",35000,36000,"30039-4053"
159400,"2012-4-16",69750,69750,30046
159401,"2012-2-28",86000,78000,"30052-8909"
159402,"2012-2-27",55000,50000,"30039-7758"
159403,"2012-2-10",48400,45000,30039
159404,"2012-3-02",103900,103900,"30052-4925"
159405,"2012-7-17",159000,150000,"30045-9709"
159406,"2012-3-22",124900,119000,"30078-6114"
159407,"2012-3-15",69900,63000,30039
159408,"2012-2-24",28000,32000,30039
159409,"2012-3-02",177990,175000,"30039-6328"
159410,"2012-3-14",47000,48200,30052
159411,"2012-4-11",78900,79500,"30017-4255"
159412,"2012-2-29",74900,72000,"30039-5139"
159413,"2012-3-12",180000,177550,30017
159414,"2012-3-30",39900,47000,30039
159415,"2012-7-05",159900,170000,30052
159416,"2012-3-27",84900,85999,"30039-8424"
159417,"2012-3-28",114900,115000,30052
159418,"2012-6-22",60000,63100,30052
159419,"2012-4-20",54950,50000,"30017-1444"
159420,"2012-3-22",69900,65000,30052
159421,"2012-5-30",119900,109000,"30039-3398"
159422,"2012-3-16",33000,33000,30039
159423,"2012-4-26",30000,25000,"30087-4024"
159424,"2012-6-14",164900,169100,"30052-7922"
159425,"2012-4-20",69900,68000,30046
159426,"2012-5-07",65000,65125,"30039-7757"
159427,"2012-3-14",123930,89435,"30052-5700"
159428,"2012-4-24",84900,77500,"30052-4909"
159429,"2012-6-26",115000,106500,30039
159430,"2012-3-15",58000,56000,"30046-6175"
159431,"2012-6-20",139900,147500,30078
159432,"2012-3-23",49900,55000,"30039-3333"
159433,"2012-3-26",77500,73500,30039
159434,"2012-2-23",150000,150000,"30039-5634"
159435,"2012-4-25",90000,76303,30078
159436,"2012-4-17",87000,85000,"30052-5170"
159437,"2012-3-29",89900,85000,"30039-6827"
159438,"2012-6-19",78000,78000,"30039-5230"
159439,"2012-5-15",104900,104500,30078
159440,"2012-5-24",80000,80000,30039
159441,"2012-2-23",34900,34000,"30039-4038"
159442,"2012-2-24",69000,63139,30052
159443,"2012-3-01",98000,107471,30039
159444,"2012-5-24",80000,75000,"30017-1598"
